name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in,found_year
Blöki,7.25,male,"German Shepherd Dog, Rottweiler, Staffordshire Terrier Mix",2013-08-21,2013-08-21,2013-08-22,sable,short,medium,no,unknown,yes,yes,unknown,yes,unknown,both flat and garden,2013
Zsani,14.92,female,Dachshund Mix,2013-08-29,2013-08-29,2013-09-01,brown,short,medium,unknown,unknown,yes,unknown,yes,yes,unknown,unknown,2013
Lédi,7.17,female,German Shepherd Dog,2012-09-13,2012-09-13,2013-09-13,black and tan,short,large,unknown,yes,yes,yes,unknown,unknown,unknown,both flat and garden,2012
Hilda,7.75,female,Unknown Mix,2013-09-16,2013-09-16,2013-09-20,brown,short,medium,unknown,unknown,yes,unknown,yes,yes,unknown,unknown,2013
Bundás,7.92,male,Terrier Mix,2013-08-31,2013-08-31,2013-09-04,black and white,medium,medium,yes,unknown,yes,unknown,unknown,unknown,unknown,garden,2013
Chagall,7.17,male,German Shepherd Dog Mix,2013-08-10,2013-09-15,2013-08-20,sable,medium,large,unknown,yes,yes,yes,yes,yes,unknown,both flat and garden,2013
Betti,8.25,female,German Shepherd Dog Mix,2013-08-21,2013-09-05,2013-08-21,sable,medium,large,no,unknown,yes,yes,unknown,yes,unknown,garden,2013
Rachel,13.25,female,Rhodesian Ridgeback Mix,2013-07-26,2013-07-26,2013-09-14,red,short,large,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2013
Jessica,6.75,female,Unknown Mix,2013-08-23,2013-08-23,2013-08-27,golden,short,medium,unknown,unknown,yes,yes,yes,yes,unknown,unknown,2013
Sharon,14.33,female,Beagle,2013-08-05,2013-08-05,2013-08-20,tricolor,short,medium,unknown,yes,yes,yes,yes,yes,unknown,both flat and garden,2013
Filou,12.25,male,German Pointer Mix,2013-04-26,2013-09-11,2013-09-11,black and white,short,medium,unknown,unknown,yes,no,unknown,unknown,unknown,both flat and garden,2013
Panka,14.92,female,German Shepherd Dog Mix,2005-01-01,2005-01-01,2013-09-20,black and brown,short,large,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2005
